Time,Temperature(°C)
2024/07/25 16:02:19,26.0625
2024/07/25 16:02:20,26.0625
2024/07/25 16:02:21,26.0625
2024/07/25 16:02:22,26.0625
2024/07/25 16:02:23,26.0625
2024/07/25 20:31:43,24.1875
2024/07/25 20:31:44,24.1875
2024/07/25 20:31:45,24.1875
2024/07/25 20:31:46,24.1875
2024/07/25 20:31:47,24.125
2024/07/25 20:31:48,24.1875
2024/07/25 20:31:49,24.1875
2024/07/25 20:31:50,24.1875
2024/07/25 20:31:51,24.1875
2024/07/25 20:31:52,24.1875
2024/07/25 20:31:53,24.125
2024/07/25 20:31:54,24.1875
2024/07/25 20:31:55,24.125
2024/07/25 20:31:57,24.1875
2024/07/25 20:31:58,24.125
2024/07/25 20:31:59,24.1875
2024/07/25 20:32:00,24.125
2024/07/25 20:32:01,24.125
2024/07/25 20:32:02,24.125
2024/07/25 20:32:03,24.125
2024/07/25 20:32:04,24.125
2024/07/25 20:32:05,24.125
2024/07/25 20:32:06,24.125
2024/07/25 20:32:07,24.125
2024/07/25 20:32:21,24.125
2024/07/25 20:32:22,24.125
2024/07/25 20:32:23,24.125
2024/07/25 20:32:24,24.0625
2024/07/25 20:32:25,24.0625
2024/07/25 20:32:26,24.0625
2024/07/25 20:32:27,24.0625
2024/07/25 20:32:28,24.0625
2024/07/25 20:32:29,24.0625
2024/07/25 20:32:30,24.0625
2024/07/25 20:32:31,24.0625
2024/07/25 20:32:32,24.0625
2024/07/25 20:32:33,24.0625
2024/07/25 20:32:34,24.0625
2024/07/25 20:32:36,24.0625
2024/07/25 20:32:37,24.125
2024/07/25 20:32:38,24.125
2024/07/25 20:32:39,24.0625
2024/07/25 20:32:40,24.0625
2024/07/25 20:32:41,24.0625
2024/07/25 20:32:42,24.0625
2024/07/25 20:32:43,24.0625
2024/07/25 20:32:44,24.0625
2024/07/25 20:32:45,24.0625
2024/07/25 20:32:46,24.0625
2024/07/25 20:32:47,24.0625
2024/07/25 20:32:48,24.0625
2024/07/25 20:32:49,24.0625
2024/07/25 20:32:50,24.0625
2024/07/25 20:32:51,24.0625
2024/07/25 20:32:52,24.0625
2024/07/25 20:32:53,24.0625
2024/07/25 20:32:54,24.0625
2024/07/25 20:32:55,24.0625
2024/07/25 20:32:56,24.0625
2024/07/25 20:32:57,24.0
2024/07/25 20:32:58,24.0
2024/07/25 20:32:59,24.0
2024/07/25 20:33:00,24.0
2024/07/25 20:33:01,24.0
2024/07/25 20:33:02,24.0
2024/07/25 20:33:03,24.0
2024/07/25 20:33:05,24.0
2024/07/25 20:33:06,24.0
2024/07/25 20:33:07,24.0
2024/07/25 20:33:08,23.9375
2024/07/25 20:33:09,23.9375
2024/07/25 20:33:10,23.9375
2024/07/25 20:33:11,23.9375
2024/07/25 20:33:12,23.9375
2024/07/25 20:33:13,23.9375
2024/07/25 20:33:14,23.9375
2024/07/25 20:33:15,23.9375
2024/07/25 20:33:16,23.9375
2024/07/25 20:33:17,23.9375
2024/07/25 20:33:18,23.9375
2024/07/25 20:33:19,23.9375
2024/07/25 20:33:20,23.9375
2024/07/25 20:33:21,23.9375
2024/07/25 20:33:22,23.9375
2024/07/25 20:33:23,24.0
2024/07/25 20:33:24,23.9375
2024/07/25 20:33:25,23.9375
2024/07/25 20:33:26,24.0
2024/07/25 20:33:27,23.9375
2024/07/25 20:33:28,24.0
2024/07/25 20:33:29,24.0
2024/07/25 20:33:30,23.9375
2024/07/25 20:33:31,24.0
2024/07/25 20:33:32,24.0
2024/07/25 20:33:33,24.0
2024/07/25 20:33:34,24.0
2024/07/25 20:33:35,24.0
2024/07/25 20:33:37,24.0
2024/07/25 20:33:38,24.0
2024/07/25 20:33:39,24.0
2024/07/25 20:33:40,24.0
2024/07/25 20:33:41,24.0
2024/07/25 20:33:42,24.0
2024/07/25 20:33:43,24.0
2024/07/25 20:33:44,24.0
2024/07/25 20:33:45,24.0
2024/07/25 20:33:46,24.0
2024/07/25 20:33:47,24.0
2024/07/25 20:33:48,24.0
2024/07/25 20:33:49,24.0625
2024/07/25 20:33:50,24.0625
2024/07/25 20:33:51,24.0625
2024/07/25 20:33:52,24.0
2024/07/25 20:33:53,24.0625
2024/07/25 20:33:54,24.0625
2024/07/25 20:33:55,24.0625
2024/07/25 20:33:56,24.0625
2024/07/25 20:33:57,24.0
2024/07/25 20:33:58,24.0
2024/07/25 20:33:59,24.0625
2024/07/25 20:34:00,24.0625
2024/07/25 20:34:01,24.0625
2024/07/25 20:34:02,24.0625
2024/07/25 20:34:03,24.0625
2024/07/25 20:34:04,24.0625
2024/07/25 20:34:05,24.0625
2024/07/25 20:34:06,24.0625
2024/07/25 20:34:07,24.0625
2024/07/25 20:34:08,24.0625
2024/07/25 20:34:09,24.0625
2024/07/25 20:34:10,24.125
2024/07/25 20:34:12,24.125
2024/07/25 20:34:13,24.125
2024/07/25 20:34:14,24.125
2024/07/25 20:34:15,24.125
2024/07/25 20:34:16,24.125
2024/07/25 20:34:17,24.125
2024/07/25 20:34:18,24.125
2024/07/25 20:34:19,24.125
2024/07/25 20:34:20,24.125
2024/07/25 20:34:21,24.1875
2024/07/25 20:34:22,24.125
2024/07/25 20:34:23,24.125
2024/07/25 20:34:24,24.1875
2024/07/25 20:34:25,24.1875
2024/07/25 20:34:26,24.1875
2024/07/25 20:34:27,24.1875
2024/07/25 20:34:28,24.1875
2024/07/25 20:34:29,24.1875
2024/07/25 20:34:30,24.1875
2024/07/25 20:34:31,24.1875
2024/07/25 20:34:32,24.1875
2024/07/25 20:34:33,24.1875
2024/07/25 20:34:34,24.1875
2024/07/25 20:34:35,24.1875
2024/07/25 20:34:36,24.1875
2024/07/25 20:34:37,24.1875
2024/07/25 20:34:38,24.1875
2024/07/25 20:34:39,24.1875
2024/07/25 20:34:40,24.1875
2024/07/25 20:34:41,24.1875
2024/07/25 20:34:42,24.1875
2024/07/25 20:34:43,24.1875
2024/07/25 20:34:44,24.1875
2024/07/25 20:34:45,24.1875
2024/07/25 20:34:47,24.1875
2024/07/25 20:34:48,24.1875
2024/07/25 20:34:49,24.1875
2024/07/25 20:34:50,24.1875
2024/07/25 20:34:51,24.25
2024/07/25 20:34:52,24.25
2024/07/25 20:34:53,24.1875
2024/07/25 20:34:54,24.1875
2024/07/25 20:34:55,24.25
2024/07/25 20:34:56,24.25
2024/07/25 20:34:57,24.25
2024/07/25 20:34:58,24.25
2024/07/25 20:34:59,24.25
2024/07/25 20:35:00,24.25
2024/07/25 20:35:01,24.25
2024/07/25 20:35:02,24.25
2024/07/25 20:35:03,24.25
2024/07/25 20:35:04,24.1875
2024/07/25 20:35:05,24.25
2024/07/25 20:35:06,24.25
2024/07/25 20:35:07,24.25
2024/07/25 20:35:08,24.25
2024/07/25 20:35:09,24.25
2024/07/25 20:35:10,24.3125
2024/07/25 20:35:11,24.25
2024/07/25 20:35:12,24.25
2024/07/25 20:35:13,24.25
2024/07/25 20:35:15,24.3125
2024/07/25 20:35:16,24.25
2024/07/25 20:35:17,24.25
2024/07/25 20:35:18,24.25
2024/07/25 20:35:19,24.3125
2024/07/25 20:35:20,24.25
2024/07/25 20:35:21,24.3125
2024/07/25 20:35:22,24.25
2024/07/25 20:35:23,24.3125
2024/07/25 20:35:24,24.3125
2024/07/25 20:35:25,24.3125
2024/07/25 20:35:26,24.3125
2024/07/25 20:35:27,24.3125
2024/07/25 20:35:28,24.3125
2024/07/25 20:35:29,24.25
2024/07/25 20:35:30,24.3125
2024/07/25 20:35:31,24.3125
2024/07/25 20:35:32,24.25
2024/07/25 20:35:33,24.3125
2024/07/25 20:35:34,24.3125
2024/07/25 20:35:35,24.3125
2024/07/25 20:35:36,24.3125
2024/07/25 20:35:37,24.25
2024/07/25 20:35:38,24.3125
2024/07/25 20:35:39,24.25
2024/07/25 20:35:40,24.25
2024/07/25 20:35:41,24.3125
2024/07/25 20:35:43,24.25
2024/07/25 20:35:44,24.25
2024/07/25 20:35:45,24.25
2024/07/25 20:35:46,24.3125
2024/07/25 20:35:47,24.3125
2024/07/25 20:35:48,24.3125
2024/07/25 20:35:49,24.3125
2024/07/25 20:35:50,24.3125
2024/07/25 20:35:51,24.3125
2024/07/25 20:35:52,24.3125
2024/07/25 20:35:53,24.3125
2024/07/25 20:35:54,24.3125
2024/07/25 20:35:55,24.3125
2024/07/25 20:35:56,24.3125
2024/07/25 20:35:57,24.25
2024/07/25 20:35:58,24.3125
2024/07/25 20:35:59,24.3125
2024/07/25 20:36:00,24.3125
2024/07/25 20:36:01,24.3125
2024/07/25 20:36:02,24.3125
2024/07/25 20:36:03,24.3125
2024/07/25 20:36:04,24.3125
2024/07/25 20:36:05,24.3125
2024/07/25 20:36:06,24.3125
2024/07/25 20:36:07,24.3125
2024/07/25 20:36:08,24.3125
2024/07/25 20:36:10,24.25
2024/07/25 20:36:11,24.3125
2024/07/25 20:36:12,24.3125
2024/07/25 20:36:13,24.3125
2024/07/25 20:36:14,24.3125
2024/07/25 20:36:15,24.3125
2024/07/25 20:36:16,24.3125
2024/07/25 20:36:17,24.25
2024/07/25 20:36:18,24.3125
2024/07/25 20:36:19,24.3125
2024/07/25 20:36:20,24.3125
2024/07/25 20:36:21,24.3125
2024/07/25 20:36:22,24.25
2024/07/25 20:36:23,24.3125
2024/07/25 20:36:24,24.25
2024/07/25 20:36:25,24.3125
2024/07/25 20:36:26,24.3125
2024/07/25 20:36:27,24.3125
2024/07/25 20:36:28,24.3125
2024/07/25 20:36:29,24.3125
2024/07/25 20:36:30,24.3125
2024/07/25 20:36:31,24.3125
2024/07/25 20:36:32,24.3125
2024/07/25 20:36:34,24.3125
2024/07/25 20:36:35,24.3125
2024/07/25 20:36:36,24.3125
2024/07/25 20:36:37,24.3125
2024/07/25 20:36:38,24.3125
2024/07/25 20:36:39,24.3125
2024/07/25 20:36:40,24.3125
2024/07/25 20:36:41,24.3125
2024/07/25 20:36:42,24.3125
2024/07/25 20:36:43,24.3125
2024/07/25 20:36:44,24.3125
2024/07/25 20:36:45,24.3125
2024/07/25 20:36:46,24.3125
2024/07/25 20:36:47,24.3125
2024/07/25 20:36:48,24.3125
2024/07/25 20:36:49,24.3125
2024/07/25 20:36:50,24.375
2024/07/25 20:36:51,24.3125
2024/07/25 20:36:52,24.3125
2024/07/25 20:36:53,24.3125
2024/07/25 20:36:54,24.3125
2024/07/25 20:36:55,24.3125
2024/07/25 20:36:56,24.3125
2024/07/25 20:36:57,24.3125
2024/07/25 20:36:58,24.3125
2024/07/25 20:36:59,24.375
2024/07/25 20:37:00,24.3125
2024/07/25 20:37:02,24.3125
2024/07/25 20:37:03,24.3125
2024/07/25 20:37:04,24.3125
2024/07/25 20:37:05,24.3125
2024/07/25 20:37:06,24.3125
2024/07/25 20:37:07,24.3125
2024/07/25 20:37:08,24.3125
2024/07/25 20:37:09,24.3125
2024/07/25 20:37:10,24.3125
2024/07/25 20:37:11,24.3125
2024/07/25 20:37:12,24.3125
2024/07/25 20:37:13,24.3125
2024/07/25 20:37:14,24.3125
2024/07/25 20:37:15,24.3125
2024/07/25 20:37:16,24.3125
2024/07/25 20:37:17,24.3125
2024/07/25 20:37:18,24.3125
2024/07/25 20:37:19,24.3125
2024/07/25 20:37:20,24.3125
2024/07/25 20:37:21,24.3125
2024/07/25 20:37:22,24.3125
2024/07/25 20:37:23,24.3125
2024/07/25 20:37:24,24.25
2024/07/25 20:37:25,24.25
2024/07/25 20:37:26,24.3125
2024/07/25 20:37:28,24.3125
2024/07/25 20:37:29,24.3125
2024/07/25 20:37:30,24.25
2024/07/25 20:37:31,24.25
2024/07/25 20:37:32,24.25
2024/07/25 20:37:33,24.3125
2024/07/25 20:37:34,24.25
2024/07/25 20:37:35,24.25
2024/07/25 20:37:36,24.25
2024/07/25 20:37:37,24.25
2024/07/25 20:37:38,24.25
2024/07/25 20:37:39,24.25
2024/07/25 20:37:40,24.25
2024/07/25 20:37:41,24.25
2024/07/25 20:37:42,24.25
2024/07/25 20:37:43,24.3125
2024/07/25 20:37:44,24.25
2024/07/25 20:37:45,24.3125
2024/07/25 20:37:46,24.25
2024/07/25 20:37:48,24.3125
2024/07/25 20:37:49,24.3125
2024/07/25 20:37:50,24.25
2024/07/25 20:37:51,24.3125
2024/07/25 20:37:52,24.25
2024/07/25 20:37:53,24.3125
2024/07/25 20:37:54,24.25
2024/07/25 20:37:55,24.25
2024/07/25 20:37:56,24.3125
2024/07/25 20:37:57,24.25
2024/07/25 20:37:58,24.25
2024/07/25 20:37:59,24.25
2024/07/25 20:38:00,24.25
2024/07/25 20:38:01,24.25
2024/07/25 20:38:02,24.1875
2024/07/25 20:38:03,24.25
2024/07/25 20:38:04,24.25
2024/07/25 20:38:05,24.25
2024/07/25 20:38:06,24.25
2024/07/25 20:38:08,24.25
2024/07/25 20:38:09,24.25
2024/07/25 20:38:10,24.25
2024/07/25 20:38:11,24.25
2024/07/25 20:38:12,24.25
2024/07/25 20:38:13,24.25
2024/07/25 20:38:14,24.25
2024/07/25 20:38:15,24.25
2024/07/25 20:38:16,24.1875
2024/07/25 20:38:17,24.25
